# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
22900 26.7529 63174.5 -15979.5 1.35682e-15 -1.95156e-20 2.78938e-16 -3.4445 26.7529 -18.7737
23000 26.7562 62294.4 -16553.1 1.00722e-15 -9.71581e-19 1.29942e-16 -3.44124 26.7562 -18.7487
23100 26.7595 61338.4 -17161 8.13604e-16 -1.15237e-18 1.19567e-16 -3.43799 26.7595 -18.7237
23200 26.7627 60222.2 -17842.8 9.51815e-16 6.53232e-19 2.01727e-17 -3.43473 26.7627 -18.6987
23300 26.766 59140 -18503.1 8.90404e-16 -1.54641e-18 1.95926e-16 -3.43147 26.766 -18.6737
23400 26.7692 58000.9 -19208.3 5.37345e-16 3.37458e-19 2.23537e-16 -3.42822 26.7692 -18.6487
23500 26.7725 56945.6 -19840.8 3.40282e-16 -3.372e-18 2.94236e-17 -3.42496 26.7725 -18.6237
23600 26.7757 55979.5 -20396 4.32837e-16 -1.43508e-18 2.13923e-16 -3.42171 26.7757 -18.5987
23700 26.779 55081.1 -20890.7 4.36211e-16 3.24641e-18 2.65338e-16 -3.41845 26.779 -18.5737
23800 26.7822 54227.8 -21343.3 4.58539e-16 8.35581e-19 3.48631e-16 -3.4152 26.7822 -18.5487
23900 26.7855 53400.2 -21769.9 4.4283e-16 4.24584e-19 2.026e-16 -3.41194 26.7855 -18.5237
24000 26.7888 52583.5 -22183.2 4.88667e-16 -3.12665e-18 -1.68136e-16 -3.40869 26.7888 -18.4987
24100 26.792 51767.7 -22591.7 3.53402e-16 2.40995e-18 -3.15348e-16 -3.40543 26.792 -18.4737
24200 26.7953 50947.6 -23000.6 3.52482e-17 3.24946e-18 -6.51978e-16 -3.40218 26.7953 -18.4487
